,title,year,duration,stars,people,image_url
208,Caballero sin espada,1939,2h 9m,"8,1", 123 mil,"https://m.media-amazon.com/images/M/MV5BYjJiYmVjZGMtNTkzYi00OGI3LWEyODUtNmEzMTMxMjJiODI4XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
209,El tercer hombre,1949,1h 44m,"8,1", 185 mil,"https://m.media-amazon.com/images/M/MV5BNTA3YWNlZjEtNmVkZS00Y2I4LWI3NjgtYzI2OTVhZGVlNzNhXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
210,Logan,2017,2h 17m,"8,1", 863 mil,"https://m.media-amazon.com/images/M/MV5BM2JjODdkMGMtNmY2YS00OGM2LThiY2YtZGYyNzE4Nzc2ODA0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
211,Rocky,1976,2h,"8,1", 641 mil,"https://m.media-amazon.com/images/M/MV5BZDEyY2M2MGMtYjg5OC00ZWFjLWFkZDQtNmQzZTdiYmYzZTBkXkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
212,Cuentos de Tokio,1953,2h 16m,"8,1", 70 mil,"https://m.media-amazon.com/images/M/MV5BZWZlY2Y5YzMtODc0Mi00NTlhLTk3OTYtMmFiZWM3Mjk0MTk4XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
213,El gran Lebowski,1998,1h 57m,"8,1", 873 mil,"https://m.media-amazon.com/images/M/MV5BMjI1ODdiN2EtODM5Zi00MTU0LWFjOGEtOGRmY2Y4MmZlYzhlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
214,El séptimo sello,1957,1h 36m,"8,1", 202 mil,"https://m.media-amazon.com/images/M/MV5BZDlmYTkzOWUtODQ0MS00MmM4LWE3ZjMtYTEwNGUwMmJkYzIxXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
215,La habitación,2015,1h 58m,"8,1", 458 mil,"https://m.media-amazon.com/images/M/MV5BNGJmYWFkYjQtNzU5MS00OThjLThiNzEtYTgwZWE3YzMwYmUxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
216,Spotlight,2015,2h 9m,"8,1", 509 mil,"https://m.media-amazon.com/images/M/MV5BZmQ3OGM0MzYtMTUxNi00YzYyLWEyYjEtNmNiZWVjMzMwMTkwXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
217,Terminator,1984,1h 47m,"8,1", 942 mil,"https://m.media-amazon.com/images/M/MV5BMjllZWY0OGEtNWY4MC00MTAxLWJmZDgtYTIwZjg0ZmViZDViXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
218,Hotel Rwanda,2004,2h 1m,"8,1", 377 mil,"https://m.media-amazon.com/images/M/MV5BY2FmMWRmZmQtN2IzMS00OGVmLWFmNjktMTM0YWQzODcwYTEwXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg"
219,Platoon,1986,2h,"8,1", 446 mil,"https://m.media-amazon.com/images/M/MV5BMzFmNmIzOGYtOGYwOS00NDA5LTg1ZDUtMDI5ZGU0MDJkNDVjXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
220,Piratas del Caribe: La maldición de la Perla Negra,2003,2h 23m,"8,1"," 1,2 M","https://m.media-amazon.com/images/M/MV5BNGVlZmE3ZWUtODUxMS00YjE4LWIzMjAtNGQwZTBiZjM4OTliXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
221,El odio,1995,1h 38m,"8,1", 202 mil,"https://m.media-amazon.com/images/M/MV5BNzY5YzNmNzMtNWI2OS00OWQwLWIzNWMtODE0YzJlMDIxMWE5XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
222,Antes del atardecer,2004,1h 20m,"8,1", 294 mil,"https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_QL75_UY207_CR0,0,140,207_.jpg"
223,Jai Bhim,2021,2h 44m,"8,7", 221 mil,"https://m.media-amazon.com/images/M/MV5BZjEyNDIzNmEtMjdkYS00ZDAwLTljOWYtNDRhYTVhYTlmOTk1XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg"
224,La pasión de Juana de Arco,1928,1h 50m,"8,1", 62 mil,"https://m.media-amazon.com/images/M/MV5BNTE1MDliZjgtYTU2Yy00YjAxLTljYTItNDE2ZGYwYTY1MGQ1XkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg"
225,Los mejores años de nuestra vida,1946,2h 50m,"8,1", 72 mil,"https://m.media-amazon.com/images/M/MV5BN2YzODE5YzgtNTQ5MS00ZmVjLTkxZjktN2M0ODBiYTNjNmYyXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
226,El exorcista,1973,2h 2m,"8,1", 465 mil,"https://m.media-amazon.com/images/M/MV5BZjg3YjE4ZjAtYTdmYS00ZTBkLWE1ZjgtNzAzODUwNzRiYjlmXkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
227,Rush,2013,2h 3m,"8,1", 522 mil,"https://m.media-amazon.com/images/M/MV5BZTQ5NTIyNTEtMDlkNy00MTdmLWJlODktZjQ0NTU4ZjcyMDA3XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
228,Los Increíbles,2004,1h 55m,"8,0", 828 mil,"https://m.media-amazon.com/images/M/MV5BNGNhMDYxNjktZjM1OS00MjI4LTgxYTAtZjIzODQ4NDVjYzU4XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
229,El mago de Oz,1939,1h 42m,"8,1", 436 mil,"https://m.media-amazon.com/images/M/MV5BN2Y2ZjUzMDMtZDBkNS00OGE3LTk1NTEtZmRmODJlNzIxNDhiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
230,"Network, un mundo implacable",1976,2h 1m,"8,1", 174 mil,"https://m.media-amazon.com/images/M/MV5BZjI4ZjU5NDktZTU5YS00ZmQxLWI5YWYtMTJhY2ViMTcwMmJkXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
231,Cuenta conmigo,1986,1h 29m,"8,1", 451 mil,"https://m.media-amazon.com/images/M/MV5BMjc4OTViZGEtNmIwYi00ZGM0LTliNTAtMTliNDhjMGE3NTE2XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
232,Siempre a tu lado (Hachiko),2009,1h 33m,"8,1", 318 mil,"https://m.media-amazon.com/images/M/MV5BYjkxMjdlNjItZGEzMy00ZDAwLTg3MGEtZWYzYjAyZTdkYjAyXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
233,Sonrisas y lágrimas,1965,2h 52m,"8,1", 266 mil,"https://m.media-amazon.com/images/M/MV5BMTM2Y2QzNzUtODI5Zi00NmEzLWEyOWUtMDhhOGU4NGFkOTYyXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
234,Mi padre y mi hijo,2005,1h 52m,"8,2", 95 mil,"https://m.media-amazon.com/images/M/MV5BZDE3MTBkNmQtNGFjMC00YTcwLWExY2ItN2MyMGZkNWJlMmFmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
235,La doncella,2016,2h 25m,"8,1", 179 mil,"https://m.media-amazon.com/images/M/MV5BNTE4MTFkMWYtZDE4ZC00NDg2LTg5MzYtMTU2ZWExMGIyMWQ5XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
236,Ser o no ser,1942,1h 39m,"8,1", 44 mil,"https://m.media-amazon.com/images/M/MV5BMjM0ZGQ0YTYtOTc4Ny00ZDc2LWE2NTUtMTJiYmVlZWIxOTY3XkEyXkFqcGc@._V1_QL75_UX140_CR0,11,140,207_.jpg"
237,Hacia rutas salvajes,2007,2h 28m,"8,1", 667 mil,"https://m.media-amazon.com/images/M/MV5BYmVmYmVmNzMtZTk3YS00ZjRlLTk0ZmItNGNlMjZkZWUxN2QxXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
238,La batalla de Argel,1966,2h 1m,"8,1", 67 mil,"https://m.media-amazon.com/images/M/MV5BYTEyYWEzZmMtYTMyNi00NDI0LWIzZTAtOTE1NDIzOTQxNjJiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
239,Las uvas de la ira,1940,2h 9m,"8,1", 102 mil,"https://m.media-amazon.com/images/M/MV5BMjc4N2RjNWYtYTA2YS00NzA3LWJhNmEtNTJmYmY4ZmJlMzQ1XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
240,Atrapado en el tiempo,1993,1h 41m,"8,0", 697 mil,"https://m.media-amazon.com/images/M/MV5BMjJiY2NhMTAtNDcyMS00NjU1LWE1ODAtYzc5MTE3MTE5ZTFkXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
241,El gigante de hierro,1999,1h 26m,"8,1", 234 mil,"https://m.media-amazon.com/images/M/MV5BYzVmNmZmM2EtMWJiZi00ZmFiLTljMjEtYjk3OWYyZWZhNmI0XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
242,Amores perros,2000,2h 34m,"8,0", 256 mil,"https://m.media-amazon.com/images/M/MV5BMmUzNDI1MDYtNmIxNC00NjczLTk0ZDEtYWFkZDcxMWVhYTEwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
243,Rebeca,1940,2h 10m,"8,1", 149 mil,"https://m.media-amazon.com/images/M/MV5BMjdlM2Y0ZDQtZmIzMi00NDVhLTk2M2ItMTRiZTRkOGIwNjA2XkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
244,Criadas y señoras,2011,2h 26m,"8,1", 501 mil,"https://m.media-amazon.com/images/M/MV5BYjQ0ZDQyNTItNDZmZS00ZmVlLTk4NzktOGM2NGQ1NzM4MjVkXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
245,La leyenda del indomable,1967,2h 7m,"8,1", 191 mil,"https://m.media-amazon.com/images/M/MV5BOTA1MWM4YmYtOTU1Yi00ZWFiLTg1MTMtZjVmYjZhOGNjYWRkXkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg"
246,Sucedió una noche,1934,1h 45m,"8,1", 114 mil,"https://m.media-amazon.com/images/M/MV5BMDZiNzYwOTUtOGE5MS00ZTIxLTk1MjMtNTlkMjY0ZDU0MTViXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
247,Gangs of Wasseypur,2012,5h 21m,"8,2", 106 mil,"https://m.media-amazon.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_QL75_UX140_CR0,0,140,207_.jpg"
248,"Paris, Texas",1984,2h 25m,"8,1", 125 mil,"https://m.media-amazon.com/images/M/MV5BYWY5YzE4YmUtZWFhMS00YjYxLWI5ZGUtNDEyNmMzNDVjMGEwXkEyXkFqcGc@._V1_QL75_UX140_CR0,4,140,207_.jpg"
249,Drishyam,2015,2h 43m,"8,2", 98 mil,"https://m.media-amazon.com/images/M/MV5BM2NmMGFjYTYtNWEwNS00MTM4LWE2ZTktNzZjMTE0OTQyNjFiXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
