,title,year,duration,stars,people,image_url
132,Con faldas y a lo loco,1959,2h 1m,"8,2", 288 mil,"https://m.media-amazon.com/images/M/MV5BMWQ2MDYzMDMtNjY5My00MDljLThlMTktMTg4MGI5MDdmN2E5XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
133,El show de Truman,1998,1h 43m,"8,2"," 1,2 M","https://m.media-amazon.com/images/M/MV5BODc4OGUxM2YtNTM2MS00NTAwLWE3NzktZTI0NWI0OTI0OGNiXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg"
134,Vencedores o vencidos,1961,2h 59m,"8,3", 87 mil,"https://m.media-amazon.com/images/M/MV5BZGQwYjA4MTUtYzI5My00ZGVlLWI5ODgtZDBhMTJhOWI3MDBkXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_QL75_UY207_CR0,0,140,207_.jpg"
135,El chico,1921,1h 8m,"8,2", 137 mil,"https://m.media-amazon.com/images/M/MV5BZTQzMTM4NGEtNGFjNy00YWNkLThkZjAtZmY4YWMyNTUyNzhkXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR9,0,140,207_.jpg"
136,El padre,2020,1h 37m,"8,2", 201 mil,"https://m.media-amazon.com/images/M/MV5BYzUxMDAyMDAtNzIyZi00OGQ1LTllMjEtYzRjOThkZTUxNTliXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
137,Eva al desnudo,1950,2h 18m,"8,2", 141 mil,"https://m.media-amazon.com/images/M/MV5BOTM4ZjUzOGUtYzdlZi00ZmM5LTk5NTEtMjQxNDVmOTc5NWNlXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
138,Shutter Island,2010,2h 18m,"8,2"," 1,5 M","https://m.media-amazon.com/images/M/MV5BN2FjNWExYzEtY2YzOC00YjNlLTllMTQtNmIwM2Q1YzBhOWM1XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
139,Pozos de ambición,2007,2h 38m,"8,2", 652 mil,"https://m.media-amazon.com/images/M/MV5BMGE0NjVmYzItYmJmZS00ZjJhLTg2NjUtYTZkNjE5NjFjNGE4XkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg"
140,Jurassic Park (Parque Jurásico),1993,2h 7m,"8,2"," 1,1 M","https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_QL75_UX140_CR0,1,140,207_.jpg"
141,Casino,1995,2h 58m,"8,2", 575 mil,"https://m.media-amazon.com/images/M/MV5BZDIwMzQ3NGItYzg3Ni00NmY3LTljNjItOTUxNmQwMzJkOTc5XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
142,Top Gun: Maverick,2022,2h 10m,"8,2", 734 mil,"https://m.media-amazon.com/images/M/MV5BMDBkZDNjMWEtOTdmMi00NmExLTg5MmMtNTFlYTJlNWY5YTdmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
143,El sexto sentido,1999,1h 47m,"8,2"," 1,1 M","https://m.media-amazon.com/images/M/MV5BMjgwMjFkYzctNmRiZS00MmI4LTg5ODEtNmZkYTdjOTFiNDc0XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
144,Ran,1985,2h 40m,"8,2", 139 mil,"https://m.media-amazon.com/images/M/MV5BMmU1NGYwZWYtOWExNi00ZTEyLTgwMmUtM2ZlMDVjNWM4YjVlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
145,El laberinto del fauno,2006,1h 58m,"8,2", 712 mil,"https://m.media-amazon.com/images/M/MV5BZmMwMmFkODMtNTNhMS00OTA4LTgzOGQtZTlkNWM5OWI3MGI5XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
146,Sin perdón,1992,2h 10m,"8,2", 443 mil,"https://m.media-amazon.com/images/M/MV5BMWYxODJjNzMtZWZmOS00ZDMwLTk1YjQtZjgzNjMyODBlNmNiXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
147,No es país para viejos,2007,2h 2m,"8,2"," 1,1 M","https://m.media-amazon.com/images/M/MV5BY2YzMjhjMWMtOThlZS00Yjg3LTk1MjEtMzRiM2U0YmFiNmIyXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
148,La cosa (El enigma de otro mundo),1982,1h 49m,"8,2", 479 mil,"https://m.media-amazon.com/images/M/MV5BNTg2MzljY2ItZDg5ZS00YTUwLTlhZTMtM2UwNzZiOWE4MDc1XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
149,Una mente maravillosa,2001,2h 15m,"8,2", 1 M,"https://m.media-amazon.com/images/M/MV5BMDlmOTE4M2YtZDI4OS00ZmQ4LWE4NGUtNjMxODliNTQ2ZWE5XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
150,Kill Bill: Volumen 1,2003,1h 51m,"8,2"," 1,2 M","https://m.media-amazon.com/images/M/MV5BNzE2MTg0ZmQtNzRjOC00NTJkLWI1YWQtMGY1ZGViYTA2ZmNjXkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_QL75_UX140_CR0,1,140,207_.jpg"
151,El tesoro de Sierra Madre,1948,2h 6m,"8,2", 134 mil,"https://m.media-amazon.com/images/M/MV5BMTQ5MjY1NzUyNV5BMl5BanBnXkFtZTgwMzE4MzgyMjE@._V1_QL75_UY207_CR1,0,140,207_.jpg"
152,Yojimbo,1961,1h 50m,"8,2", 134 mil,"https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX140_CR0,1,140,207_.jpg"
153,La gran evasión,1963,2h 52m,"8,2", 263 mil,"https://m.media-amazon.com/images/M/MV5BMDRhNmJjMzEtMWU5MC00YmEyLTg3ZmYtNzYxZTI1ZGU4ZjI1XkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg"
154,Los caballeros de la mesa cuadrada y sus locos seguidores,1975,1h 31m,"8,2", 577 mil,"https://m.media-amazon.com/images/M/MV5BY2I1OTMyNjQtNWQ1OC00NzJhLTkxZjYtMGNhMGYzMjg1MzhjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_QL75_UY207_CR3,0,140,207_.jpg"
155,Buscando a Nemo,2003,1h 40m,"8,2"," 1,1 M","https://m.media-amazon.com/images/M/MV5BMTFiMjA0NjAtZTEwYS00MWRiLWI3MGEtMDlkZGY1MDQ4NjhiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
156,Prisioneros,2013,2h 33m,"8,2", 834 mil,"https://m.media-amazon.com/images/M/MV5BYjc1ZGI0MTQtOGM1My00OTNmLWJlNmMtODc0YjJjNzQwMDQ3XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
157,El castillo ambulante,2004,1h 59m,"8,2", 464 mil,"https://m.media-amazon.com/images/M/MV5BMTZhNTc2M2YtOGFhMS00MmQ2LTkxNWUtYWNhNWYyN2E2YzY1XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
