,title,href,points,by,hours ago,comments
57,Answer any question about your photo albums with OmniQuery,https://jiahaoli.net/omniquery/,47,ljhnick,14,14
58,A Photo of the Moon,https://www.thisiscolossal.com/2024/10/darya-kawa-mirza-moon-photos/,77,surprisetalk,10,22
59,End-to-End Encrypted Cloud Storage in the Wild: A Broken Ecosystem,https://brokencloudstorage.info/,109,dogtype,22,60
60,Llamafile for Meltemi: The First LLM for Greek,https://tselai.com/meltemi-llamafile,42,fforflo,17,17
61,Realizing the dream of good workplace software,https://www.campsite.com/blog/realizing-the-dream-of-good-workplace-software,12,monkey_slap,10,5
62,Geothermal Power in the North Bay,https://blog.jonudell.net/2024/10/05/geothermal-power-in-the-north-bay/,41,rbanffy,15,15
63,Is population density the reason Americans can't discuss politics?,https://www.georgesaines.com/blog/2024/10/10/is-population-density-the-reason-americans-cant-discuss-politics,66,gsaines,12,180
64,5 Years Later: The First Win,https://thephd.dev/5-years-later-the-first-big-unicode-win-omg-yay,37,todsacerdoti,17,4
65,Let's talk about animation quality,https://theorangeduck.com/page/animation-quality,222,ibobev,23,63
66,TypedDicts are better than you think,https://blog.changs.co.uk/typeddicts-are-better-than-you-think.html,121,rbanffy,17,99
67,The deconstructed Standard Model equation,https://www.symmetrymagazine.org/article/the-deconstructed-standard-model-equation?language_content_entity=und,37,thorum,17,26
68,No Time Like MEMS Time,https://morethanmoore.substack.com/p/no-time-like-mems-time,31,rbanffy,16,17
69,"Open-TV: Ultra-fast, simple and powerful cross-platform IPTV app",https://github.com/Fredolx/open-tv,129,thunderbong,1,29
70,Automating processes with software is hard,https://hardcoresoftware.learningbyshipping.com/p/222-automating-processes-with-software,257,rbanffy,1,94
71,"Nixiesearch: Running Lucene over S3, and why we're building a new search engine",https://nixiesearch.substack.com/p/nixiesearch-running-lucene-over-s3,113,shutty,1,71
72,Running WolfSSL and Curl on Windows 2000,http://datagirl.xyz/posts/wolfssl_curl_w2k.html,30,todsacerdoti,12,10
73,The 'Beautiful Confusion' of the First Billion Years Comes into View,https://www.quantamagazine.org/the-beautiful-confusion-of-the-first-billion-years-comes-into-view-20241009/,16,bookofjoe,12,discuss
74,AMD EPYC Turin delivers better performance/power efficiency than AmpereOne,https://www.phoronix.com/review/amd-epyc-9965-ampereone/3,81,geerlingguy,14,28
75,OS/2 TCPBEUI Name Resolution,https://www.os2museum.com/wp/os-2-tcpbeui-name-resolution/,70,kencausey,1,21
76,Why Gov.uk's Exit this Page component doesn't use the Escape key,https://beeps.website/blog/2024-10-09-why-govuk-exit-this-page-doesnt-use-escape/,383,todsacerdoti,1,234
77,Implementing Raft: Part 4 – Key/Value Database,https://eli.thegreenplace.net/2024/implementing-raft-part-4-keyvalue-database/,5,azhenley,8,discuss
